benchmark,env_name,mean,std,all_values
OGBench,antmaze_giant_navigate,27.875,8.523786163176288,"[[23.          0.          0.33333333  0.          6.33333333 35.33333333
   0.         35.66666667]
 [74.         69.66666667 90.         60.66666667 25.66666667  4.33333333
  34.66666667 58.33333333]
 [ 0.          5.33333333 16.66666667  1.         25.33333333 22.
  27.66666667 11.66666667]
 [58.          0.         28.          0.          0.          0.66666667
  29.         26.33333333]
 [ 1.         35.66666667 85.         67.66666667 76.66666667  0.66666667
  78.33333333  0.33333333]]"
OGBench,antmaze_large_explore,91.90833333333333,0.9061134954665789,"[[94.         94.         89.66666667 93.33333333 95.33333333 97.
  96.         83.33333333]
 [91.33333333 86.66666667 88.66666667 89.66666667 87.         81.
  89.33333333 94.33333333]
 [98.66666667 97.66666667 98.         97.33333333 98.         98.66666667
  97.33333333 98.66666667]
 [87.66666667 89.66666667 82.         90.         87.         87.33333333
  85.66666667 87.33333333]
 [89.33333333 91.33333333 92.         95.         93.66666667 93.66666667
  96.66666667 93.        ]]"
OGBench,antmaze_large_navigate,93.76666666666668,1.5355057075041356,"[[96.33333333 94.66666667 94.66666667 94.66666667 97.         95.66666667
  94.66666667 95.66666667]
 [88.33333333 88.33333333 93.66666667 90.66666667 91.33333333 96.
  92.66666667 96.66666667]
 [96.33333333 90.         97.         92.         97.33333333 98.
  96.66666667 97.33333333]
 [85.         90.         91.33333333 89.66666667 94.33333333 92.66666667
  90.33333333 91.66666667]
 [96.33333333 94.         94.33333333 94.         96.66666667 96.66666667
  93.         95.        ]]"
OGBench,antmaze_large_stitch,68.91666666666666,0.7935503904744942,"[[90.33333333 82.33333333 90.         91.66666667 91.         90.66666667
  93.66666667 93.        ]
 [86.         82.         86.33333333 79.66666667 84.66666667 81.
  82.33333333 81.33333333]
 [97.66666667 92.         94.66666667 95.66666667 92.33333333 93.33333333
  94.66666667 85.33333333]
 [ 1.66666667  0.          0.          0.          0.          0.
   0.          0.        ]
 [68.33333333 83.33333333 66.         80.         77.         81.66666667
  78.33333333 88.66666667]]"
OGBench,antsoccer_arena_navigate,57.85,1.9153618747148293,"[[78.66666667 77.         76.33333333 75.33333333 79.33333333 76.
  74.33333333 78.66666667]
 [94.33333333 93.66666667 90.33333333 88.         90.         93.33333333
  91.         88.66666667]
 [58.66666667 43.         51.33333333 49.66666667 53.33333333 47.
  56.66666667 55.33333333]
 [37.33333333 36.33333333 35.66666667 35.33333333 45.         41.33333333
  44.66666667 45.66666667]
 [19.33333333 42.         34.33333333 21.66666667 17.33333333 32.33333333
  40.33333333 25.33333333]]"
OGBench,antsoccer_arena_stitch,30.483333333333338,2.2493826313507066,"[[50.33333333 49.         54.         51.         53.33333333 59.33333333
  48.66666667 48.33333333]
 [53.66666667 66.66666667 47.33333333 62.33333333 49.         46.66666667
  55.33333333 43.        ]
 [18.33333333 18.66666667 16.66666667 18.33333333 19.         17.
  20.         21.33333333]
 [23.66666667 28.33333333 25.66666667 35.33333333 27.         26.33333333
  17.33333333 25.33333333]
 [ 1.66666667 10.          2.66666667  2.66666667  1.66666667  0.33333333
   0.66666667  3.33333333]]"
OGBench,cube_double_noisy,63.06666666666666,3.259345537578574,"[[83.         88.33333333 85.         94.         90.33333333 85.33333333
  93.66666667 96.        ]
 [79.66666667 78.         83.66666667 81.66666667 67.66666667 60.
  81.33333333 73.66666667]
 [65.66666667 72.33333333 75.33333333 80.         78.33333333 73.66666667
  79.66666667 74.66666667]
 [45.         42.33333333 47.33333333 41.66666667 36.66666667 36.66666667
  36.33333333 48.66666667]
 [40.33333333 25.66666667 29.66666667 39.         46.         22.66666667
  28.         35.66666667]]"
OGBench,cube_double_play,47.21666666666666,1.6068430055373908,"[[84.66666667 74.33333333 72.         74.33333333 72.66666667 70.66666667
  79.         81.        ]
 [48.33333333 69.33333333 44.         46.66666667 57.         53.
  64.33333333 43.66666667]
 [63.66666667 39.         47.33333333 36.66666667 39.33333333 47.66666667
  39.         33.66666667]
 [ 4.66666667  2.66666667  7.66666667  8.33333333  4.33333333  6.
  10.66666667 12.33333333]
 [44.         60.66666667 55.33333333 75.33333333 49.         59.
  39.33333333 68.        ]]"
OGBench,cube_single_noisy,99.96666666666667,0.03333333333333144,"[[100.         100.         100.         100.         100.
  100.         100.         100.        ]
 [100.         100.         100.         100.         100.
  100.          99.66666667 100.        ]
 [100.         100.         100.         100.         100.
  100.         100.         100.        ]
 [100.         100.         100.         100.         100.
  100.         100.         100.        ]
 [100.         100.         100.          99.66666667  99.66666667
  100.         100.          99.66666667]]"
OGBench,cube_single_play,98.79166666666666,0.3550234734023471,"[[ 98.66666667  99.          99.66666667  98.33333333  99.
   99.66666667  99.33333333  99.        ]
 [100.         100.          97.66666667  99.66666667  99.33333333
  100.          99.          99.33333333]
 [ 99.33333333 100.          99.66666667  99.66666667  98.66666667
   99.33333333  99.66666667  98.66666667]
 [100.          98.33333333  98.33333333 100.          99.
   99.66666667  99.33333333  98.33333333]
 [ 97.33333333  96.          98.          96.33333333  99.33333333
   98.33333333  93.66666667  97.        ]]"
