benchmark,env_name,mean,std,all_values
OGBench,antmaze_giant_navigate,0.2333333333333333,0.13743685418725538,"[[0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [0.66666667 0.         0.33333333 1.         0.         0.33333333
  0.33333333 0.        ]
 [0.33333333 0.33333333 0.         0.         0.         0.
  0.         0.        ]
 [0.         0.         0.         0.33333333 0.         0.33333333
  0.         0.        ]
 [1.         0.33333333 1.33333333 0.66666667 0.33333333 1.
  0.         0.66666667]]"
OGBench,antmaze_large_explore,0.0,0.0,"[[0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0.]]"
OGBench,antmaze_large_navigate,3.883333333333333,0.8722576072086349,"[[ 0.66666667  2.          1.66666667  2.66666667  1.33333333  3.
   1.66666667  0.66666667]
 [ 6.          1.33333333  3.66666667  7.66666667  3.          5.66666667
   3.          6.66666667]
 [ 6.          6.33333333 11.          6.66666667  6.66666667  9.
   2.33333333  4.66666667]
 [ 4.33333333  1.33333333  3.          2.33333333  2.33333333  2.66666667
   4.33333333  2.        ]
 [ 4.          3.          5.66666667  5.          4.          3.33333333
   2.33333333  2.33333333]]"
OGBench,antmaze_large_stitch,0.16666666666666669,0.20275875100994065,"[[0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [0.         0.33333333 0.33333333 3.         0.66666667 0.
  2.         0.33333333]
 [0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.        ]]"
OGBench,antsoccer_arena_stitch,0.2,0.11055415967851333,"[[0.66666667 0.33333333 1.         0.66666667 0.33333333 0.
  0.         0.33333333]
 [1.         0.66666667 0.66666667 0.66666667 0.33333333 0.66666667
  0.33333333 0.        ]
 [0.         0.         0.         0.33333333 0.         0.
  0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.        ]]"
OGBench,cube_double_noisy,2.7333333333333334,0.4333333333333333,"[[11.33333333 15.33333333 10.33333333 15.33333333 12.33333333  7.66666667
  13.          8.33333333]
 [ 0.          0.33333333  0.          0.          0.33333333  1.33333333
   0.          0.66666667]
 [ 0.          0.          0.33333333  0.33333333  1.          1.
   0.66666667  1.33333333]
 [ 0.33333333  0.          0.          0.33333333  0.          1.
   0.66666667  1.        ]
 [ 0.33333333  1.          0.          0.66666667  0.66666667  1.
   0.66666667  0.66666667]]"
OGBench,cube_single_noisy,13.51666666666667,0.3050500869620522,"[[18.66666667 19.66666667 19.66666667 15.66666667 20.66666667 17.66666667
  19.         19.66666667]
 [12.66666667 13.33333333 17.33333333 15.33333333 10.         16.
  17.         10.33333333]
 [16.         14.66666667 16.66666667 14.         21.33333333 14.
  13.33333333 17.        ]
 [12.         10.          9.33333333 13.          7.33333333  8.
   8.66666667 11.33333333]
 [ 6.66666667  7.33333333  6.66666667 10.          8.66666667 11.66666667
   9.         11.33333333]]"
OGBench,cube_triple_noisy,0.3916666666666667,0.14312970031098057,"[[1.33333333 1.66666667 1.66666667 1.66666667 3.         1.66666667
  3.33333333 1.33333333]
 [0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.        ]]"
OGBench,cube_triple_play,0.525,0.21969043877440111,"[[4.66666667 2.66666667 3.66666667 3.33333333 1.66666667 1.33333333
  2.         1.66666667]
 [0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.        ]]"
OGBench,humanoidmaze_large_navigate,0.09999999999999999,0.08819171036881969,"[[0.33333333 0.         0.         0.         0.         0.
  0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [0.         0.         0.         0.33333333 0.         0.
  0.         0.        ]
 [0.33333333 0.         0.33333333 0.33333333 0.33333333 0.33333333
  0.         1.        ]
 [0.         0.         0.         0.66666667 0.         0.
  0.         0.        ]]"
