benchmark,env_name,mean,std,all_values
OGBench,antmaze_giant_navigate,16.333333333333336,8.187320820770505,"[[ 0.          0.          0.          0.          0.          6.33333333
   0.          0.        ]
 [40.33333333 51.33333333 15.          7.66666667 21.66666667 10.33333333
   7.33333333 31.66666667]
 [ 2.33333333  0.          0.          0.33333333  0.          1.66666667
   2.66666667  0.        ]
 [ 0.         20.          0.33333333  0.         18.33333333 11.66666667
   0.         29.        ]
 [77.         72.66666667 45.         22.66666667  0.         68.66666667
  31.33333333 58.        ]]"
OGBench,antmaze_large_explore,87.88333333333334,6.614357279601865,"[[94.33333333 97.66666667 96.         62.33333333 94.66666667 94.
  96.         93.33333333]
 [91.33333333 89.66666667 87.         96.         87.         87.
  94.66666667 93.33333333]
 [96.33333333 98.66666667 97.66666667 96.66666667 96.33333333 97.66666667
  99.         97.66666667]
 [93.66666667 85.33333333 85.66666667 90.         88.66666667 86.
  90.33333333 92.33333333]
 [94.33333333 93.66666667  0.         91.33333333 63.66666667 90.66666667
  92.33333333 43.        ]]"
OGBench,antmaze_large_navigate,88.14166666666667,3.419622704984343,"[[92.         95.66666667 93.         92.66666667 89.         94.33333333
  91.66666667 92.66666667]
 [85.         83.66666667 53.66666667 88.66666667 87.         81.
  79.33333333 81.66666667]
 [96.         91.66666667 94.33333333 92.66666667 94.         93.66666667
  95.         90.66666667]
 [42.         90.         86.33333333 92.33333333 90.33333333 83.
  90.         84.33333333]
 [91.66666667 92.33333333 92.33333333 93.66666667 90.         94.33333333
  93.66666667 90.33333333]]"
OGBench,antmaze_large_stitch,58.14166666666667,8.741372730997245,"[[ 8.33333333 95.66666667 95.         46.         72.33333333 89.
  89.66666667 78.66666667]
 [ 1.33333333 52.66666667  0.         53.66666667  0.         53.33333333
   0.         42.        ]
 [89.33333333 91.33333333 85.66666667 94.33333333 86.33333333 83.33333333
  85.33333333 91.33333333]
 [14.33333333  0.         38.33333333 32.66666667  2.          0.
  77.33333333 24.66666667]
 [85.66666667 65.33333333 87.33333333 85.33333333 79.         84.33333333
  88.33333333 76.33333333]]"
OGBench,antsoccer_arena_stitch,28.583333333333332,2.256533723312029,"[[58.33333333 55.33333333 56.66666667 48.33333333 53.33333333 53.66666667
  53.66666667 47.66666667]
 [37.         57.33333333 56.33333333 52.33333333 48.66666667 34.66666667
  51.33333333 55.        ]
 [20.66666667 16.66666667 20.33333333 16.33333333 20.33333333 15.33333333
  20.66666667 24.        ]
 [14.33333333 14.         30.         17.         19.66666667 25.33333333
  12.         27.33333333]
 [ 1.          1.33333333  1.33333333  0.33333333  1.66666667  1.
   1.66666667  1.33333333]]"
OGBench,cube_double_noisy,38.2,5.271622141238881,"[[88.33333333 74.         75.33333333 68.66666667 82.         68.66666667
  70.         89.66666667]
 [42.         37.33333333 22.         42.66666667 57.66666667 38.66666667
  51.33333333 53.        ]
 [25.         29.66666667 13.         30.33333333 30.33333333 22.33333333
  29.         30.66666667]
 [15.66666667 10.33333333  8.66666667 17.         18.         20.
  14.66666667 20.        ]
 [29.66666667 29.33333333 18.33333333 39.33333333 42.33333333 29.
  20.         24.        ]]"
OGBench,cube_single_noisy,99.975,0.04639803635691421,"[[100.         100.         100.         100.         100.
  100.         100.         100.        ]
 [100.         100.         100.         100.          99.66666667
  100.         100.         100.        ]
 [100.         100.         100.         100.         100.
  100.         100.         100.        ]
 [ 99.66666667 100.         100.         100.         100.
  100.         100.         100.        ]
 [ 99.66666667 100.         100.         100.         100.
  100.         100.         100.        ]]"
OGBench,cube_triple_noisy,3.525,1.6084628617962486,"[[17.66666667 32.33333333 11.33333333  8.         28.33333333 15.33333333
  12.         15.        ]
 [ 0.66666667  0.          0.          0.          0.          0.
   0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.        ]
 [ 0.          0.33333333  0.          0.          0.          0.
   0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.        ]]"
OGBench,cube_triple_play,3.925,1.5331295154392897,"[[14.66666667 27.66666667 10.66666667  6.         22.33333333 10.66666667
  25.33333333 20.        ]
 [ 0.66666667  1.          0.66666667  0.66666667  0.33333333  0.66666667
   1.          1.        ]
 [ 0.66666667  1.33333333  1.33333333  1.          2.          2.33333333
   0.33333333  1.33333333]
 [ 0.33333333  1.          0.          0.          0.          0.
   0.33333333  0.66666667]
 [ 0.          0.66666667  0.          0.          0.          0.33333333
   0.          0.        ]]"
OGBench,humanoidmaze_large_navigate,6.4833333333333325,2.6782560660914325,"[[26.66666667 31.66666667 33.33333333  2.33333333  3.66666667 30.33333333
   3.33333333 27.        ]
 [ 0.33333333  0.          0.          0.          0.          0.
   0.          0.        ]
 [ 6.66666667  6.33333333  3.33333333 16.33333333  5.          9.33333333
  10.66666667 12.33333333]
 [ 0.33333333  0.          4.66666667  1.66666667  0.33333333  1.
   0.33333333  4.33333333]
 [ 0.          0.         11.66666667  0.          5.          0.33333333
   1.          0.        ]]"
